# 
# !!radialProfile!! *** Image tally disabled: the reported result is a radial profile of the detected signal.
#               Detector max radius: 20.000000 cm. Radial bins: 1000. Radial bin thickness: 0.020000 cm.
#               The output profile is normalized by the area of the radial bins (at bigger radius, the area is bigger).
# 
# 
#     *****************************************************************************
#     ***         MC-GPU, version 1.3 (http://code.google.com/p/mcgpu/)         ***
#     ***                                                                       ***
#     ***                     Andreu Badal (Andreu.Badal-Soler@fda.hhs.gov)     ***
#     *****************************************************************************
# 
#  *** SIMULATION IN THE GPU USING CUDA ***
#
#  Image created counting the energy arriving at each pixel: ideal energy integrating detector.
#  Pixel value units: eV/cm^2 per history (energy fluence).
#  Focal spot position = (0.49900001,0.00000000,0.49900001), cone beam direction = (0.00000000,1.00000000,0.00000000)
#  Pixel size:  0.020000 x 1.000000 = 0.020000 cm^2
#  Number of pixels in X and Z:  1000  1
#  (X rows given first, a blank line separates the different Z values)
# 
#  [NON-SCATTERED] [COMPTON] [RAYLEIGH] [MULTIPLE-SCATTING]    [Lower bin radius: angle = atan(radius/object-detector-dist]
# ==========================================================
14674187.78601167 0.00000000 0.00000000 0.00000000    0.00000
0.00000000 0.00000000 0.03161851 0.00000000    0.02000
0.00000000 0.00000000 0.01264740 0.00000000    0.04000
0.00000000 0.00000000 0.04742777 0.00206375    0.06000
0.00000000 0.00000000 0.02810534 0.00153141    0.08000
0.00000000 0.00000000 0.04311615 0.00256751    0.10000
0.00000000 0.00000000 0.02918632 0.00239385    0.12000
0.00000000 0.00000000 0.03056456 0.00204184    0.14000
0.00000000 0.00000000 0.04184803 0.00178307    0.16000
0.00000000 0.00000000 0.02412992 0.00077816    0.18000
0.00000000 0.00000000 0.03086569 0.00069573    0.20000
0.00000000 0.00000000 0.03780474 0.00137472    0.22000
0.00000000 0.00000000 0.03667747 0.00063105    0.24000
0.00000000 0.00000000 0.03220404 0.00106464    0.26000
0.00000000 0.00000000 0.04470203 0.00312412    0.28000
0.00000000 0.00000000 0.03161851 0.00047456    0.30000
0.00000000 0.00000000 0.03209758 0.00231606    0.32000
0.00000000 0.00000000 0.03568375 0.00313554    0.34000
0.00000000 0.00000000 0.03119124 0.00042728    0.36000
0.00000000 0.00000000 0.02756486 0.00112292    0.38000
0.00000000 0.00000000 0.03277529 0.00263224    0.40000
0.00000000 0.00000000 0.03933931 0.00105531    0.42000
0.00000000 0.00000000 0.02845666 0.00172482    0.44000
0.00000000 0.00000000 0.02892758 0.00161581    0.46000
0.00000000 0.00000000 0.02903741 0.00153118    0.48000
0.00000000 0.00000000 0.02944861 0.00148815    0.50000
0.00000000 0.00000000 0.03997057 0.00230212    0.52000
0.00000000 0.00000000 0.03822966 0.00162071    0.54000
0.00000000 0.00000000 0.03245058 0.00055428    0.56000
0.00000000 0.00000000 0.03295828 0.00158120    0.58000
0.00000000 0.00000000 0.03576520 0.00127167    0.60000
0.00000000 0.00000000 0.03613544 0.00072385    0.62000
0.00000000 0.00000000 0.03891509 0.00262757    0.64000
0.00000000 0.00000000 0.03610173 0.00062728    0.66000
0.00000000 0.00000000 0.03413883 0.00158138    0.68000
0.00000000 0.00000000 0.03206384 0.00167116    0.70000
0.00000000 0.00000000 0.03226821 0.00166427    0.72000
0.00000000 0.00000000 0.03119693 0.00282503    0.74000
0.00000000 0.00000000 0.03387698 0.00196039    0.76000
0.00000000 0.00000000 0.03141840 0.00172738    0.78000
0.00000000 0.00000000 0.03200886 0.00095420    0.80000
0.00000000 0.00000000 0.03333277 0.00219737    0.82000
0.00000000 0.00000000 0.03068856 0.00091440    0.84000
0.00000000 0.00000000 0.03361738 0.00139999    0.86000
0.00000000 0.00000000 0.03801327 0.00203693    0.88000
0.00000000 0.00000000 0.03804645 0.00213164    0.90000
0.00000000 0.00016986 0.03501835 0.00197490    0.92000
0.00000000 0.00000000 0.03611167 0.00080061    0.94000
0.00000000 0.00000000 0.03585604 0.00203535    0.96000
0.00000000 0.00000000 0.03321541 0.00138122    0.98000
0.00000000 0.00000000 0.03459253 0.00223253    1.00000
0.00000000 0.00000000 0.03760454 0.00244474    1.02000
0.00000000 0.00000000 0.02966118 0.00258372    1.04000
0.00000000 0.00000000 0.03176626 0.00126952    1.06000
0.00000000 0.00000000 0.03683992 0.00083392    1.08000
0.00000000 0.00000000 0.03432460 0.00111309    1.10000
0.00000000 0.00000000 0.03063918 0.00120978    1.12000
0.00000000 0.00000000 0.03684244 0.00211996    1.14000
0.00000000 0.00000000 0.03391558 0.00132383    1.16000
0.00000000 0.00013274 0.03254847 0.00127992    1.18000
0.00000000 0.00013055 0.03579947 0.00101322    1.20000
0.00000000 0.00012844 0.03547443 0.00134778    1.22000
0.00000000 0.00025274 0.03579216 0.00123963    1.24000
0.00000000 0.00024872 0.03261437 0.00168952    1.26000
0.00000000 0.00036738 0.03345680 0.00191374    1.28000
0.00000000 0.00000000 0.03173919 0.00106715    1.30000
0.00000000 0.00011877 0.03447131 0.00138989    1.32000
